doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cach-dong-goi-don-hoan-tra,data/shopee-doi-tra-hoan-tien/cach-dong-goi-don-hoan-tra.md,[Trả hàng/Hoàn tiền] Cách đóng gói đơn hàng hoàn trả,https://help.shopee.vn/portal/4/article/79508,2026-09-20,not-stated,public-source
chinh-sach-tra-hang-hoan-tien,data/shopee-doi-tra-hoan-tien/chinh-sach-tra-hang-hoan-tien.md,Chính sách Trả hàng và Hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-03-11,public-source
chinh-sach-tra-hang-hoan-tien-nguoi-ban,data/shopee-doi-tra-hoan-tien/chinh-sach-tra-hang-hoan-tien-nguoi-ban.md,Chính sách Trả hàng và Hoàn tiền — Quyền và trách nhiệm của Người bán,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-03-11,public-source
chinh-sach-van-chuyen,data/shopee-doi-tra-hoan-tien/chinh-sach-van-chuyen.md,Chính sách Vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77484,2026-09-20,2025-12-11,public-source
chuan-bi-bang-chung-tra-hang,data/shopee-doi-tra-hoan-tien/chuan-bi-bang-chung-tra-hang.md,[Trả hàng/Hoàn tiền] Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79467,2026-09-20,not-stated,public-source
dieu-khoan-dich-vu-shopee,data/shopee-doi-tra-hoan-tien/dieu-khoan-dich-vu-shopee.md,Điều khoản Dịch vụ Shopee,https://help.shopee.vn/portal/4/article/77243,2026-09-20,2026-05-01,public-source
dieu-khoan-nguoi-ban-shopee-mart,data/shopee-doi-tra-hoan-tien/dieu-khoan-nguoi-ban-shopee-mart.md,Điều khoản và Điều kiện Người bán tham gia Shopee Mart,https://help.shopee.vn/portal/4/article/195504,2026-09-20,not-stated,public-source
dieu-khoan-shopee-mall,data/shopee-doi-tra-hoan-tien/dieu-khoan-shopee-mall.md,Điều Khoản Dịch Vụ của Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,2026-05-08,public-source
huong-dan-gui-yeu-cau-tra-hang,data/shopee-doi-tra-hoan-tien/huong-dan-gui-yeu-cau-tra-hang.md,[Trả hàng/Hoàn tiền] Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
phuong-thuc-gui-hang-hoan-tra,data/shopee-doi-tra-hoan-tien/phuong-thuc-gui-hang-hoan-tra.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-09-20,not-stated,public-source
quy-che-hoat-dong-san,data/shopee-doi-tra-hoan-tien/quy-che-hoat-dong-san.md,Quy chế hoạt động Sàn Thương mại điện tử Shopee.vn,https://help.shopee.vn/portal/4/article/77245,2026-09-20,2025-01-03,public-source
quy-dinh-chung-tra-hang-hoan-tien,data/shopee-doi-tra-hoan-tien/quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
quy-trinh-giai-quyet-tranh-chap,data/shopee-doi-tra-hoan-tien/quy-trinh-giai-quyet-tranh-chap.md,Quy trình giải quyết tranh chấp và xử lý khiếu nại,https://help.shopee.vn/portal/4/article/77265,2026-09-20,2024-03-15,public-source
quy-trinh-shopee-xu-ly-yeu-cau,data/shopee-doi-tra-hoan-tien/quy-trinh-shopee-xu-ly-yeu-cau.md,[Trả hàng/Hoàn tiền] Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-09-20,not-stated,public-source
thoi-gian-nhan-tien-hoan,data/shopee-doi-tra-hoan-tien/thoi-gian-nhan-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
